Órgão;Elemento;Fonte de Recursos;Subfunção;Programa;Projeto / Atividade;Jan;Fev;Mar;Abr;Valor Empenhado
06 - Gabinete de Segurança Institucional do Estado;31901100 - Vencimentos e Vantagens Fixas - Pessoal Civil;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;190.058,71;154.597,66;126.715,94;0;471.372,31
06 - Gabinete de Segurança Institucional do Estado;31901300 - Obrigações Patronais;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;83.494,94;79.793,88;79.464,16;0;242.752,98
06 - Gabinete de Segurança Institucional do Estado;31901600 - Outras Despesas Variáveis - Pessoal Civil;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;1.180.863,23;1.293.591,23;1.249.855,55;0;3.724.310,01
06 - Gabinete de Segurança Institucional do Estado;31909200 - Despesas de Exercícios Anteriores;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;8.036,40;0;0;0;8.036,40
06 - Gabinete de Segurança Institucional do Estado;31911300 - Obrigações Patronais;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;5.410,46;5.410,46;5.410,46;0;16.231,38
16 - Secretaria de Estado de Defesa Civil e Corpo ;31900300 - Pensões do RPPS e do Militar;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;231.153,10;231.332,43;231.153,10;0;693.638,63
16 - Secretaria de Estado de Defesa Civil e Corpo ;31900400 - Contratação Por Tempo Determinado;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;833.130,96;833.130,96;830.807,71;0;2.497.069,63
16 - Secretaria de Estado de Defesa Civil e Corpo ;31901100 - Vencimentos e Vantagens Fixas - Pessoal Civil;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;136.544,81;165.906,95;155.125,91;0;457.577,67
16 - Secretaria de Estado de Defesa Civil e Corpo ;31901200 - Vencimentos e Vantagens Fixas - Pessoal Milit;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;108.533.831,65;106.422.814,28;106.128.407,79;0;321.085.053,72
16 - Secretaria de Estado de Defesa Civil e Corpo ;31901300 - Obrigações Patronais;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;6.128,85;9.795,93;9.526,80;0;25.451,58
16 - Secretaria de Estado de Defesa Civil e Corpo ;31901600 - Outras Despesas Variáveis - Pessoal Civil;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;443.298,69;503.530,64;498.724,84;0;1.445.554,17
16 - Secretaria de Estado de Defesa Civil e Corpo ;31901700 - Outras Despesas Variáveis - Pessoal Militar;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;39.350.679,47;38.945.188,78;39.712.293,90;0;118.008.162,15
16 - Secretaria de Estado de Defesa Civil e Corpo ;31909200 - Despesas de Exercícios Anteriores;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;1.897.378,10;1.054.581,37;987.704,39;0;3.939.663,86
16 - Secretaria de Estado de Defesa Civil e Corpo ;31911300 - Obrigações Patronais;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;1.896.301,17;1.877.531,39;1.935.225,66;0;5.709.058,22
16 - Secretaria de Estado de Defesa Civil e Corpo ;33900800 - Outros Benefícios Assistenciais do Servidor e;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;88.832,89;80.327,36;78.138,00;0;247.298,25
16 - Secretaria de Estado de Defesa Civil e Corpo ;33904900 - Auxílio Transporte;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;873.746,06;872.964,40;917.324,39;0;2.664.034,85
21 - Secretaria de Estado de Planejamento e Gestão;31901100 - Vencimentos e Vantagens Fixas - Pessoal Civil;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;45.365,87;43.129,66;33.462,55;0;121.958,08
21 - Secretaria de Estado de Planejamento e Gestão;31901300 - Obrigações Patronais;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;41.030,88;39.944,92;40.586,24;0;121.562,04
21 - Secretaria de Estado de Planejamento e Gestão;31901600 - Outras Despesas Variáveis - Pessoal Civil;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;230.857,40;232.298,58;231.586,88;0;694.742,86
21 - Secretaria de Estado de Planejamento e Gestão;31909600 - Ressarcimento de Despesas de Pessoal Requisit;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;21.922,90;21.922,90;27.440,34;0;71.286,14
21 - Secretaria de Estado de Planejamento e Gestão;31911300 - Obrigações Patronais;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;980;980;980;0;2.940,00
21 - Secretaria de Estado de Planejamento e Gestão;33904600 - Auxílio Alimentação;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;9.144,00;11.808,00;12.060,00;0;33.012,00
25 - Secretaria de Estado de Administração Peniten;31900300 - Pensões do RPPS e do Militar;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;21.406,08;21.406,08;12.671,08;0;55.483,24
25 - Secretaria de Estado de Administração Peniten;31900700 - Contribuição a Entidades Fechadas de Previdên;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;7.212,34;2.093,00;2.988,35;0;12.293,69
25 - Secretaria de Estado de Administração Peniten;31901100 - Vencimentos e Vantagens Fixas - Pessoal Civil;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;46.749.171,76;57.546.090,63;49.672.857,28;0;153.968.119,67
25 - Secretaria de Estado de Administração Peniten;31901300 - Obrigações Patronais;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;89.188,66;87.542,26;84.186,81;0;260.917,73
25 - Secretaria de Estado de Administração Peniten;31901600 - Outras Despesas Variáveis - Pessoal Civil;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;1.727.170,96;4.334.441,17;6.742.172,01;0;12.803.784,14
25 - Secretaria de Estado de Administração Peniten;31909100 - Sentenças Judiciais;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;478,4;478,4;478,4;0;1.435,20
25 - Secretaria de Estado de Administração Peniten;31909200 - Despesas de Exercícios Anteriores;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;326.089,56;150.456,99;183.762,77;0;660.309,32
25 - Secretaria de Estado de Administração Peniten;31911300 - Obrigações Patronais;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;11.981.256,36;12.035.108,14;12.606.772,64;0;36.623.137,14
25 - Secretaria de Estado de Administração Peniten;33900800 - Outros Benefícios Assistenciais do Servidor e;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;47.171,32;54.926,80;53.210,65;0;155.308,77
25 - Secretaria de Estado de Administração Peniten;33904600 - Auxílio Alimentação;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;347.681,50;397.871,50;389.423,50;0;1.134.976,50
25 - Secretaria de Estado de Administração Peniten;33904900 - Auxílio Transporte;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;448.704,95;450.856,19;452.807,07;0;1.352.368,21
25 - Secretaria de Estado de Administração Peniten;33909200 - Despesas de Exercícios Anteriores;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;6.865,75;5.221,08;9.445,62;0;21.532,45
30 - Secretaria de Estado de Trabalho e Renda     ;31901100 - Vencimentos e Vantagens Fixas - Pessoal Civil;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;142.449,11;141.961,78;140.113,81;0;424.524,70
30 - Secretaria de Estado de Trabalho e Renda     ;31901300 - Obrigações Patronais;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;44.670,96;43.114,34;42.914,54;0;130.699,84
30 - Secretaria de Estado de Trabalho e Renda     ;31901600 - Outras Despesas Variáveis - Pessoal Civil;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;190.370,36;184.355,91;184.365,55;0;559.091,82
30 - Secretaria de Estado de Trabalho e Renda     ;31909100 - Sentenças Judiciais;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;301,44;301,44;301,44;0;904,32
30 - Secretaria de Estado de Trabalho e Renda     ;31909200 - Despesas de Exercícios Anteriores;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;24,68;2.389,32;925,32;0;3.339,32
30 - Secretaria de Estado de Trabalho e Renda     ;31911300 - Obrigações Patronais;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;20.968,36;24.405,92;23.009,98;0;68.384,26
30 - Secretaria de Estado de Trabalho e Renda     ;33904600 - Auxílio Alimentação;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;16.200,00;21.264,00;17.928,00;0;55.392,00
51 - Secretaria de Estado de Polícia Militar      ;31900100 - Aposentadorias e Reformas;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;29.889,09;47.308,30;29.889,09;0;107.086,48
51 - Secretaria de Estado de Polícia Militar      ;31900300 - Pensões do RPPS e do Militar;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;3.496.260,21;3.503.304,35;3.512.468,18;0;10.512.032,74
51 - Secretaria de Estado de Polícia Militar      ;31900400 - Contratação Por Tempo Determinado;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;471.892,38;468.653,89;467.574,40;0;1.408.120,67
51 - Secretaria de Estado de Polícia Militar      ;31901100 - Vencimentos e Vantagens Fixas - Pessoal Civil;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;987.217,85;944.284,18;928.318,90;0;2.859.820,93
51 - Secretaria de Estado de Polícia Militar      ;31901200 - Vencimentos e Vantagens Fixas - Pessoal Milit;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;395.305.242,85;363.806.186,64;351.081.770,36;0;1.110.193.199,85
51 - Secretaria de Estado de Polícia Militar      ;31901300 - Obrigações Patronais;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;174.836,49;161.724,65;156.091,32;0;492.652,46
51 - Secretaria de Estado de Polícia Militar      ;31901600 - Outras Despesas Variáveis - Pessoal Civil;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;986.735,15;981.799,90;991.772,73;0;2.960.307,78
51 - Secretaria de Estado de Polícia Militar      ;31901700 - Outras Despesas Variáveis - Pessoal Militar;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;29.594.233,38;31.336.463,43;41.381.852,89;22.007.764,91;124.320.314,61
51 - Secretaria de Estado de Polícia Militar      ;31909100 - Sentenças Judiciais;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;9.264,37;9.229,21;9.229,21;0;27.722,79
51 - Secretaria de Estado de Polícia Militar      ;31909200 - Despesas de Exercícios Anteriores;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;4.258.348,56;2.541.584,55;1.994.302,85;0;8.794.235,96
51 - Secretaria de Estado de Polícia Militar      ;31911300 - Obrigações Patronais;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;19.110.989,00;19.042.011,96;19.398.164,98;0;57.551.165,94
51 - Secretaria de Estado de Polícia Militar      ;33900800 - Outros Benefícios Assistenciais do Servidor e;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;234.831,90;334.873,07;741.187,76;500.000,00;1.810.892,73
51 - Secretaria de Estado de Polícia Militar      ;33901900 - Auxílio-Fardamento;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;29.807,06;217.492,92;982.044,63;0;1.229.344,61
51 - Secretaria de Estado de Polícia Militar      ;33904600 - Auxílio Alimentação;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;2.528.974,76;2.716.691,32;2.694.630,52;0;7.940.296,60
51 - Secretaria de Estado de Polícia Militar      ;33904900 - Auxílio Transporte;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;4.724.036,89;4.741.968,59;11.021.789,22;0;20.487.794,70
51 - Secretaria de Estado de Polícia Militar      ;33909200 - Despesas de Exercícios Anteriores;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;1.505.924,11;208.184,16;62.768,41;0;1.776.876,68
51 - Secretaria de Estado de Polícia Militar      ;33913000 - Material de Consumo;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;4.666.081,67;4.666.081,67;4.666.081,67;0;13.998.245,01
52 - Secretaria de Estado de Policia Civil        ;31900700 - Contribuição a Entidades Fechadas de Previdên;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;236.621,60;178.679,39;205.369,19;0;620.670,18
52 - Secretaria de Estado de Policia Civil        ;31901100 - Vencimentos e Vantagens Fixas - Pessoal Civil;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;100.903.489,48;101.600.197,49;108.687.794,00;0;311.191.480,97
52 - Secretaria de Estado de Policia Civil        ;31901300 - Obrigações Patronais;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;75.942,96;69.930,18;80.126,88;0;226.000,02
52 - Secretaria de Estado de Policia Civil        ;31901600 - Outras Despesas Variáveis - Pessoal Civil;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;14.278.262,49;14.010.476,03;14.070.060,06;0;42.358.798,58
52 - Secretaria de Estado de Policia Civil        ;31911300 - Obrigações Patronais;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;24.969.303,03;25.594.904,52;27.417.325,81;0;77.981.533,36
52 - Secretaria de Estado de Policia Civil        ;33900800 - Outros Benefícios Assistenciais do Servidor e;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;27.341,80;37.430,76;58.244,50;18.111,20;141.128,26
52 - Secretaria de Estado de Policia Civil        ;33904600 - Auxílio Alimentação;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;1.855.808,82;1.816.379,03;1.855.440,72;0;5.527.628,57
52 - Secretaria de Estado de Policia Civil        ;33904900 - Auxílio Transporte;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;648.582,49;629.008,55;645.849,63;0;1.923.440,67
06 - Gabinete de Segurança Institucional do Estado;33903900 - Outros Serviços de Terceiros - Pessoa Jurídic;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;8021 - Pagamento de Despesas com Serviços de Utilida;43.500,00;59.500,00;51.700,00;-1.406,79;153.293,21
06 - Gabinete de Segurança Institucional do Estado;33904000 - Serviços de Tecnologia da Informação e Comuni;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;8021 - Pagamento de Despesas com Serviços de Utilida;19.253,84;0;19.253,84;-19.253,84;19.253,84
21 - Secretaria de Estado de Planejamento e Gestão;33903900 - Outros Serviços de Terceiros - Pessoa Jurídic;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;8021 - Pagamento de Despesas com Serviços de Utilida;467,47;1.118,22;618,22;0;2.203,91
21 - Secretaria de Estado de Planejamento e Gestão;33904000 - Serviços de Tecnologia da Informação e Comuni;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;8021 - Pagamento de Despesas com Serviços de Utilida;43,94;0;2.370,00;0;2.413,94
51 - Secretaria de Estado de Polícia Militar      ;33903900 - Outros Serviços de Terceiros - Pessoa Jurídic;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;8021 - Pagamento de Despesas com Serviços de Utilida;370.000,00;7.071.116,68;1.879.168,27;327.373,28;9.647.658,23
51 - Secretaria de Estado de Polícia Militar      ;33904000 - Serviços de Tecnologia da Informação e Comuni;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;8021 - Pagamento de Despesas com Serviços de Utilida;24.000,00;471.000,00;-447.000,00;0;48.000,00
52 - Secretaria de Estado de Policia Civil        ;33903900 - Outros Serviços de Terceiros - Pessoa Jurídic;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;8021 - Pagamento de Despesas com Serviços de Utilida;313.878,96;313.878,96;1.943.878,96;0;2.571.636,88
06 - Gabinete de Segurança Institucional do Estado;33901500 - Diárias - Militar;100 - Ordinários Provenientes de Impostos;181 - Policiamento;0059 - Desenvolvimento das Atividades de Segurança O;2281 - Atividade de Segurança da SSMGSI;37.570,00;37.973,00;14.288,00;3.835,00;93.666,00
51 - Secretaria de Estado de Polícia Militar      ;33903000 - Material de Consumo;100 - Ordinários Provenientes de Impostos;181 - Policiamento;0478 - Prevenção à Violência e Combate à Criminalida;2061 - Operação Especial e Especializada da Polícia ;171.623,31;410.000,00;382.101,00;0;963.724,31
51 - Secretaria de Estado de Polícia Militar      ;33903900 - Outros Serviços de Terceiros - Pessoa Jurídic;100 - Ordinários Provenientes de Impostos;181 - Policiamento;0478 - Prevenção à Violência e Combate à Criminalida;2061 - Operação Especial e Especializada da Polícia ;740.000,00;1.000.000,00;0;0;1.740.000,00
51 - Secretaria de Estado de Polícia Militar      ;33903000 - Material de Consumo;100 - Ordinários Provenientes de Impostos;181 - Policiamento;0478 - Prevenção à Violência e Combate à Criminalida;2878 - Gestão da Frota da Polícia Militar;3.946.658,00;5.000.000,00;2.486.994,00;0;11.433.652,00
51 - Secretaria de Estado de Polícia Militar      ;33903900 - Outros Serviços de Terceiros - Pessoa Jurídic;100 - Ordinários Provenientes de Impostos;181 - Policiamento;0478 - Prevenção à Violência e Combate à Criminalida;2878 - Gestão da Frota da Polícia Militar;200.000,00;0;0;1.200.000,00;1.400.000,00
51 - Secretaria de Estado de Polícia Militar      ;33903900 - Outros Serviços de Terceiros - Pessoa Jurídic;100 - Ordinários Provenientes de Impostos;181 - Policiamento;0478 - Prevenção à Violência e Combate à Criminalida;4446 - Operacionalização do Centro Integrado de Coma;5.559,12;0;10.000,00;0;15.559,12
51 - Secretaria de Estado de Polícia Militar      ;33904000 - Serviços de Tecnologia da Informação e Comuni;100 - Ordinários Provenientes de Impostos;181 - Policiamento;0478 - Prevenção à Violência e Combate à Criminalida;4446 - Operacionalização do Centro Integrado de Coma;40.000,00;96.348,46;192.696,92;0;329.045,38
25 - Secretaria de Estado de Administração Peniten;33903900 - Outros Serviços de Terceiros - Pessoa Jurídic;100 - Ordinários Provenientes de Impostos;306 - Alimentação e Nutrição;0467 - Segurança Alimentar e Nutricional;8227 - Fornecimento de Alimentação aos Custodiados;22.916.850,54;3.807.483,10;24.613.735,17;16.765.267,51;68.103.336,32
