Órgão;Elemento;Fonte de Recursos;Subfunção;Programa;Projeto / Atividade;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Valor Empenhado
16 - Secretaria de Estado de Defesa Civil e Corpo ;31901600 - Outras Despesas Variáveis - Pessoal Civil;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;261.175,05;287.164,68;309.169,53;302.148,36;350.809,26;330.386,88;0;521.032,02;447.395,61;423.551,62;0;0;3.676.131,70
16 - Secretaria de Estado de Defesa Civil e Corpo ;31909200 - Despesas de Exercícios Anteriores;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;2.324.245,22;0;0;0;0;0;0;13.623,46;582.369,87;450.316,58;0;311.527,68;5.579.460,91
16 - Secretaria de Estado de Defesa Civil e Corpo ;31911300 - Obrigações Patronais;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;1.748.822,11;1.742.412,14;1.732.440,33;1.726.082,06;1.723.799,90;1.703.920,74;1.708.576,19;1.700.405,29;1.683.024,60;1.682.523,14;1.663.591,36;1.661.342,53;22.373.241,56
16 - Secretaria de Estado de Defesa Civil e Corpo ;33900800 - Outros Benefícios Assistenciais do Servidor e;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;78.598,99;74.914,00;73.815,37;74.615,98;90.069,28;141.007,69;106.072,53;151.964,61;181.367,60;91.662,40;11.526,46;92.788,01;1.257.235,81
16 - Secretaria de Estado de Defesa Civil e Corpo ;33904900 - Auxílio Transporte;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;923.375,12;901.726,77;933.138,23;1.016.964,67;896.680,24;922.000,71;926.595,60;927.780,83;932.109,14;963.409,66;0;876.546,65;11.094.073,68
16 - Secretaria de Estado de Defesa Civil e Corpo ;33909200 - Despesas de Exercícios Anteriores;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;36.483,82;32.393,57;77.774,28;54.924,77;180.237,22;65.779,40;-43.109,08;530.438,20;12.560,20;67.387,62;0;0;1.014.870,00
21 - Secretaria de Estado de Planejamento e Gestão;31901100 - Vencimentos e Vantagens Fixas - Pessoal Civil;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;40.385,64;48.285,11;35.630,40;31.684,21;38.678,14;159.366,16;35.553,85;40.971,30;34.855,58;39.885,04;30.983,99;180.882,09;762.527,38
21 - Secretaria de Estado de Planejamento e Gestão;31901300 - Obrigações Patronais;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;41.695,12;41.495,17;39.215,33;38.352,41;41.250,77;40.775,32;39.003,72;39.889,63;38.777,34;38.994,38;38.663,94;70.085,57;549.229,58
21 - Secretaria de Estado de Planejamento e Gestão;31901600 - Outras Despesas Variáveis - Pessoal Civil;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;232.765,74;234.159,27;232.276,16;231.582,83;241.669,74;227.654,01;230.357,48;233.254,78;235.810,75;235.810,75;235.610,75;235.810,75;3.037.620,41
21 - Secretaria de Estado de Planejamento e Gestão;31911300 - Obrigações Patronais;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;980;980;980;980;980;980;980;980;980;980;980;1.960,00;13.720,00
21 - Secretaria de Estado de Planejamento e Gestão;33904600 - Auxílio Alimentação;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;9.696,00;10.968,00;10.188,00;11.832,00;11.964,00;10.368,00;12.686,91;11.196,00;9.312,00;9.552,00;12.432,00;8.877,36;138.216,27
25 - Secretaria de Estado de Administração Peniten;31900300 - Pensões do RPPS e do Militar;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;21.406,08;21.406,08;21.406,08;21.406,08;21.406,08;21.406,08;21.406,08;21.406,08;21.406,08;21.406,08;21.406,08;21.406,08;278.279,04
25 - Secretaria de Estado de Administração Peniten;31900500 - Outros Benefícios Previdenciários do Servidor;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;1,8;0;0;0;0;0;0;0;0;0;0;0;1,8
25 - Secretaria de Estado de Administração Peniten;31900700 - Contribuição a Entidades Fechadas de Previdên;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;1.126,24;1.121,23;1.121,74;1.121,74;1.121,74;1.121,74;1.121,74;1.121,74;1.121,74;1.121,74;1.121,74;1.921,35;21.476,82
25 - Secretaria de Estado de Administração Peniten;31901100 - Vencimentos e Vantagens Fixas - Pessoal Civil;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;40.829.944,36;41.024.832,60;40.708.602,52;40.509.478,21;42.244.528,99;61.233.098,10;40.441.578,67;40.422.147,14;40.149.731,38;40.096.790,93;40.158.767,69;59.286.725,06;573.855.397,41
25 - Secretaria de Estado de Administração Peniten;31901300 - Obrigações Patronais;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;94.232,69;91.749,21;91.554,37;94.281,76;105.732,08;99.526,97;90.096,72;92.728,47;88.431,45;82.547,14;80.455,00;152.589,50;1.253.114,02
25 - Secretaria de Estado de Administração Peniten;31901600 - Outras Despesas Variáveis - Pessoal Civil;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;4.117.519,09;4.189.282,15;4.399.104,23;4.325.459,17;4.542.853,09;4.376.646,45;4.395.314,51;1.832.416,51;4.355.600,95;4.396.150,56;4.428.153,91;4.331.016,91;51.416.688,49
25 - Secretaria de Estado de Administração Peniten;31909100 - Sentenças Judiciais;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;478,4;478,4;1.877,68;478,4;1.877,68;478,4;1.603,82;478,4;1.262,06;478,4;478,4;478,4;10.926,84
25 - Secretaria de Estado de Administração Peniten;31909200 - Despesas de Exercícios Anteriores;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;58.608,91;4.663,92;7.681,99;48.287,80;13,01;4.337,92;504.841,67;14.028.825,35;152.943,81;1.177.377,54;152.813,06;52.048,51;16.518.533,05
25 - Secretaria de Estado de Administração Peniten;31911300 - Obrigações Patronais;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;10.545.161,91;10.536.486,71;10.515.202,35;10.491.650,08;10.965.217,61;10.581.130,93;10.634.415,33;14.078.168,12;10.504.633,78;10.495.594,69;10.471.304,89;21.057.530,88;152.857.753,64
25 - Secretaria de Estado de Administração Peniten;33900800 - Outros Benefícios Assistenciais do Servidor e;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;46.935,00;141.321,68;46.936,80;73.057,55;90.886,00;54.082,05;73.613,12;59.238,05;64.158,55;13.545,18;65.314,00;53.863,18;830.122,48
25 - Secretaria de Estado de Administração Peniten;33904600 - Auxílio Alimentação;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;332.333,00;408.209,00;361.892,10;399.773,00;402.731,00;416.340,60;413.357,50;413.706,25;389.915,50;360.785,50;434.070,60;435.449,50;5.116.245,05
25 - Secretaria de Estado de Administração Peniten;33904900 - Auxílio Transporte;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;444.336,99;448.416,11;451.145,31;451.878,80;452.245,16;455.166,90;456.070,98;457.553,33;458.087,51;453.458,03;450.286,91;463.041,47;5.890.392,45
25 - Secretaria de Estado de Administração Peniten;33909200 - Despesas de Exercícios Anteriores;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;4.256,00;3.886,96;5.408,00;1.017,42;3.900,45;60.220,00;107.491,76;39.349,25;76.772,23;3.412,46;7.148,90;2.156,26;321.885,44
30 - Secretaria de Estado de Trabalho e Renda     ;31901100 - Vencimentos e Vantagens Fixas - Pessoal Civil;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;121.283,15;150.769,80;147.382,58;142.363,53;144.118,75;278.616,66;152.345,61;150.083,49;140.543,81;144.572,87;137.738,69;400.855,82;2.253.123,87
30 - Secretaria de Estado de Trabalho e Renda     ;31901600 - Outras Despesas Variáveis - Pessoal Civil;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;202.333,13;187.083,18;182.505,34;184.355,91;184.355,92;184.581,91;183.523,65;184.343,66;184.011,90;184.355,91;184.355,91;178.312,08;2.414.488,86
30 - Secretaria de Estado de Trabalho e Renda     ;31909100 - Sentenças Judiciais;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;301,44;301,44;301,44;301,44;301,44;301,44;301,44;301,44;301,44;301,44;301,44;301,44;3.918,72
30 - Secretaria de Estado de Trabalho e Renda     ;31911300 - Obrigações Patronais;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;27.678,24;27.678,24;27.678,24;27.678,24;26.327,80;26.327,80;26.327,80;26.327,80;25.019,56;25.020,56;25.019,56;45.987,92;358.040,12
51 - Secretaria de Estado de Polícia Militar      ;31900100 - Aposentadorias e Reformas;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;24.082,00;0;29.103,66;24.053,20;24.053,20;25.049,86;26.056,94;25.895,68;0;27.837,24;0;4.032,86;240.053,73
51 - Secretaria de Estado de Polícia Militar      ;31900300 - Pensões do RPPS e do Militar;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;2.184.895,94;0;2.180.383,01;2.178.485,75;2.217.490,55;2.199.573,21;2.251.142,10;2.177.056,75;0;2.178.483,01;82.244,24;5.550,45;21.151.565,22
51 - Secretaria de Estado de Polícia Militar      ;31900400 - Contratação Por Tempo Determinado;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;315.985,56;0;623.798,79;598.005,78;580.143,62;544.847,45;498.757,72;452.352,17;0;421.166,74;0;0;4.506.950,21
51 - Secretaria de Estado de Polícia Militar      ;31901100 - Vencimentos e Vantagens Fixas - Pessoal Civil;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;1.309.738,35;250.000,00;1.420.566,79;1.360.239,70;1.381.492,21;1.394.694,58;1.586.292,17;1.504.471,74;0;1.358.712,13;250.000,00;0;12.803.425,52
51 - Secretaria de Estado de Polícia Militar      ;31901200 - Vencimentos e Vantagens Fixas - Pessoal Milit;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;239.197.518,45;238.801.618,02;265.994.138,97;22.319.500,05;59.533.827,33;76.004.120,23;273.360.239,13;262.022.465,03;-7.716.906,21;229.090.037,60;-5.710.061,68;-1.197.842,76;2.047.003.897,01
51 - Secretaria de Estado de Polícia Militar      ;31901300 - Obrigações Patronais;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;179.381,64;158.993,37;171.575,73;160.005,57;162.083,50;158.772,47;163.066,53;157.614,32;154.926,91;156.622,80;159.326,68;309.400,91;2.266.606,92
51 - Secretaria de Estado de Polícia Militar      ;31901600 - Outras Despesas Variáveis - Pessoal Civil;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;978.454,70;0;1.041.962,63;995.054,69;996.912,53;993.025,00;1.028.263,47;998.831,42;0;1.004.292,82;0;0;9.023.532,41
51 - Secretaria de Estado de Polícia Militar      ;31901700 - Outras Despesas Variáveis - Pessoal Militar;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;14.462.582,87;15.983.547,91;80.923.125,87;79.971.630,52;66.415.677,42;75.078.204,25;82.532.229,54;66.830.359,65;30.285.061,39;82.792.180,80;1.534.469,06;2.012.206,85;628.415.509,51
51 - Secretaria de Estado de Polícia Militar      ;31909100 - Sentenças Judiciais;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;956,8;0;2.268,54;2.870,40;2.392,00;3.583,27;4.224,29;10.204,29;0;7.094,69;0;0;42.858,65
51 - Secretaria de Estado de Polícia Militar      ;31909200 - Despesas de Exercícios Anteriores;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;2.202.889,42;67.460,68;41.333,74;0;0;0;3.291.585,63;5.859.062,62;-15.954,85;299.562,21;0;0;16.004.288,01
51 - Secretaria de Estado de Polícia Militar      ;31911300 - Obrigações Patronais;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;5.629.539,72;5.456.441,94;5.440.867,73;5.395.993,67;5.418.472,11;5.412.203,38;5.559.261,77;5.665.070,50;5.560.531,45;5.467.173,12;5.513.509,34;5.509.438,38;85.139.492,11
51 - Secretaria de Estado de Polícia Militar      ;33900800 - Outros Benefícios Assistenciais do Servidor e;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;209.908,96;197.896,14;214.737,68;229.984,20;290.417,74;317.542,62;265.087,51;251.298,63;233.352,20;266.999,67;237.023,81;284.113,57;3.233.194,63
51 - Secretaria de Estado de Polícia Militar      ;33901900 - Auxílio-Fardamento;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;41.613,54;73.115,98;25.486,62;164.752,08;116.959,69;144.658,79;422.228,39;521.505,47;246.788,92;571.626,51;1.612.948,45;1.340.609,80;5.312.101,30
51 - Secretaria de Estado de Polícia Militar      ;33904600 - Auxílio Alimentação;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;2.514.113,49;2.655.961,82;2.707.501,10;2.789.490,61;2.710.539,63;2.701.410,97;2.685.105,95;2.951.773,39;2.748.115,82;2.722.904,24;2.896.378,64;3.731.165,87;36.343.436,29
51 - Secretaria de Estado de Polícia Militar      ;33904900 - Auxílio Transporte;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;4.653.260,31;4.626.995,18;4.578.274,79;4.528.539,89;4.560.296,61;4.545.881,34;4.742.452,55;3.773.601,22;5.293.399,02;4.596.785,99;4.727.656,35;7.865.206,77;63.216.386,91
51 - Secretaria de Estado de Polícia Militar      ;33909200 - Despesas de Exercícios Anteriores;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;121.904,37;0;0;0;0;0;68.938,96;498.703,98;5.971,13;4.448,57;0;0;2.205.891,12
51 - Secretaria de Estado de Polícia Militar      ;33913000 - Material de Consumo;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;4.666.081,67;4.666.081,67;4.666.081,67;4.666.081,67;4.666.081,67;4.666.081,67;4.666.081,67;4.666.081,67;6.621.217,58;4.666.081,67;4.666.081,67;4.666.081,67;62.614.197,62
52 - Secretaria de Estado de Policia Civil        ;31901100 - Vencimentos e Vantagens Fixas - Pessoal Civil;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;86.499.697,85;92.145.125,44;91.003.552,99;0;0;-444,12;99.399.729,79;91.847.103,63;94.211.689,23;92.057.042,19;3.663,86;154.640.146,41;902.710.796,75
52 - Secretaria de Estado de Policia Civil        ;31901300 - Obrigações Patronais;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;48.799,71;50.778,08;61.855,70;0;0;0;132.442,92;151.099,33;133.832,46;135.835,15;0;4.532,73;795.119,04
52 - Secretaria de Estado de Policia Civil        ;31911300 - Obrigações Patronais;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;38.619.739,40;0;23.172.263,96;23.102.861,19;23.014.063,12;23.014.111,44;24.357.477,56;23.256.998,19;12.077.899,47;23.036.537,64;0;3.170.328,97;241.791.583,97
52 - Secretaria de Estado de Policia Civil        ;33900800 - Outros Benefícios Assistenciais do Servidor e;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;26.621,93;19.365,00;-5.221,40;33.825,54;14.143,60;69.909,38;113.029,14;41.102,60;77.587,92;40.056,42;55.632,71;40.572,43;553.967,07
06 - Gabinete de Segurança Institucional do Estado;33901500 - Diárias - Militar;100 - Ordinários Provenientes de Impostos;181 - Policiamento;0059 - Desenvolvimento das Atividades de Segurança O;2281 -  ;31.612,00;15.964,00;18.829,00;4.993,00;10.133,00;18.837,00;15.585,00;49.181,00;13.444,00;12.032,00;14.918,00;25.526,00;268.624,00
51 - Secretaria de Estado de Polícia Militar      ;33903000 - Material de Consumo;100 - Ordinários Provenientes de Impostos;181 - Policiamento;0478 - Prevenção à Violência e Combate à Criminalida;2878 -  ;5.000.000,00;4.000.004,00;9.985.000,00;-4.985.000,00;6.517.253,64;22.663.844,51;-2.489.397,43;-7.000.000,00;-3.992.635,64;0;4.500.000,00;0;38.145.727,08
06 - Gabinete de Segurança Institucional do Estado;33903000 - Material de Consumo;100 - Ordinários Provenientes de Impostos;781 - Transporte Aéreo;0470 - Fortalecimento da Gestão Pública;2039 -  ;114.400,00;8.400,00;348.900,00;28.640,00;6.300,00;15.500,00;804.101,00;30.500,00;0;81.809,97;248.880,00;-54.481,48;1.696.950,49
06 - Gabinete de Segurança Institucional do Estado;33903900 - Outros Serviços de Terceiros - Pessoa Jurídic;100 - Ordinários Provenientes de Impostos;781 - Transporte Aéreo;0470 - Fortalecimento da Gestão Pública;2039 -  ;286.640,00;200.846,39;230.532,00;240.675,80;205.632,00;191.632,00;295.300,76;0;47.441,80;756.662,40;118.768,67;-486,3;2.806.093,22
30 - Secretaria de Estado de Trabalho e Renda     ;33904700 - Obrigações Tributárias e Contributivas;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;0467 - Despesas Obrigatórias de caráter Primário;0;6.620,71;4.475,82;3.270,21;3.287,76;3.293,32;3.361,70;3.536,41;3.248,57;3.292,29;3.223,96;3.232,69;44.243,44
51 - Secretaria de Estado de Polícia Militar      ;33903000 - Material de Consumo;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2010 - Prest Serv entre Órg Est/ Aquis Comb e Lubrif;0;6.000.000,00;0;0;-17.253,64;0;0;0;0;0;0;0;7.649.406,36
52 - Secretaria de Estado de Policia Civil        ;33903000 - Material de Consumo;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2010 - Prest Serv entre Órg Est/ Aquis Comb e Lubrif;0;0;2.445.168,90;1.322.584,45;1.222.584,45;0;0;0;0;0;-40.058,08;0;6.244.854,72
06 - Gabinete de Segurança Institucional do Estado;33903000 - Material de Consumo;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2016 - Manut  Ativid  Operacionais / Administrativas;0;11.800,00;3.940,00;-171,45;29,75;16.722,50;-30,58;30.616,85;-297,19;25.996,68;40.431,45;-913,58;136.924,43
06 - Gabinete de Segurança Institucional do Estado;33904000 - Serviços de Tecnologia da Informação e Comuni;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2016 - Manut  Ativid  Operacionais / Administrativas;0;0;0;0;0;0;0;0;0;0;0;0;627,5
21 - Secretaria de Estado de Planejamento e Gestão;33903900 - Outros Serviços de Terceiros - Pessoa Jurídic;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2016 - Manut  Ativid  Operacionais / Administrativas;0;1.452,50;726,25;743,75;735;735;735;735;735;9.095,00;4.500,00;-65;21.527,50
21 - Secretaria de Estado de Planejamento e Gestão;33914000 - Serviços de Tecnologia da Informação e Comuni;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2016 - Manut  Ativid  Operacionais / Administrativas;0;0;0;0;0;0;0;0;0;0;496;0;992
21 - Secretaria de Estado de Planejamento e Gestão;33919200 - Despesas de Exercícios Anteriores;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2016 - Manut  Ativid  Operacionais / Administrativas;0;0;0;0;0;0;0;0;0;0;0;0;496
25 - Secretaria de Estado de Administração Peniten;33909200 - Despesas de Exercícios Anteriores;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2016 - Manut  Ativid  Operacionais / Administrativas;0;0;0;0;0;159.331,01;0;1.452.968,71;578.200,17;0;339.119,95;516;2.539.976,84
