Órgão;Elemento;Fonte de Recursos;Subfunção;Programa;Projeto / Atividade;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Valor Empenhado
16 - Secretaria de Estado de Defesa Civil e Corpo ;31901100 - Vencimentos e Vantagens Fixas - Pessoal Civil;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;313.501,25;325.280,94;303.223,79;331.612,63;310.372,23;393.791,75;332.051,91;348.128,66;336.376,98;322.679,48;662.431,29;46.484,05;4.212.518,96
16 - Secretaria de Estado de Defesa Civil e Corpo ;31901200 - Vencimentos e Vantagens Fixas - Pessoal Milit;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;85.445.449,56;87.356.085,52;84.718.647,66;89.995.537,51;78.748.773,37;88.437.509,39;82.711.109,74;81.987.106,36;81.381.408,64;80.744.096,28;154.596.113,36;-3.925.505,68;1.076.557.582,68
16 - Secretaria de Estado de Defesa Civil e Corpo ;31901300 - Obrigações Patronais;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;1.298,91;1.333,50;1.587,03;943,6;943,6;943,6;943,6;922,14;926,11;838,6;1.822,78;-4.342,02;8.161,45
16 - Secretaria de Estado de Defesa Civil e Corpo ;31901600 - Outras Despesas Variáveis - Pessoal Civil;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;266.876,08;264.932,39;260.261,57;285.398,80;284.104,18;274.317,85;263.507,26;262.265,62;259.574,02;257.457,25;261.917,03;-25.378,63;2.915.233,42
16 - Secretaria de Estado de Defesa Civil e Corpo ;31901700 - Outras Despesas Variáveis - Pessoal Militar;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;18.710.985,65;18.965.015,11;18.815.511,61;20.387.259,32;18.911.745,84;17.297.187,43;18.636.462,48;18.413.706,72;18.378.391,73;18.145.641,18;16.887.323,29;0;207.435.582,92
16 - Secretaria de Estado de Defesa Civil e Corpo ;31909200 - Despesas de Exercícios Anteriores;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;1.312.384,59;1.429.098,75;1.425.205,35;418.192,49;1.091.416,33;919.444,06;888.997,78;942.081,00;523.932,85;874.286,67;695.002,65;0;10.520.042,52
16 - Secretaria de Estado de Defesa Civil e Corpo ;31911300 - Obrigações Patronais;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;27.785.105,66;27.668.969,49;27.342.098,84;27.112.719,49;27.653.542,23;25.975.506,56;25.758.474,28;25.575.514,13;25.437.319,19;25.266.416,95;48.023.867,26;7.367.910,70;346.758.052,54
16 - Secretaria de Estado de Defesa Civil e Corpo ;33900800 - Outros Benefícios Assistenciais do Servidor e;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;74.023,00;97.262,05;163.972,16;92.090,94;104.974,73;115.477,34;99.093,28;129.555,87;76.930,12;139.452,57;136.424,01;74.113,36;1.374.581,43
16 - Secretaria de Estado de Defesa Civil e Corpo ;33904900 - Auxílio Transporte;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;971.240,89;969.876,77;992.538,76;1.020.265,57;1.018.416,17;833.177,94;994.500,34;1.006.114,35;1.024.096,89;990.879,80;1.049.816,47;890.431,58;12.714.134,52
21 - Secretaria de Estado da Casa Civil e Governan;31901100 - Vencimentos e Vantagens Fixas - Pessoal Civil;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;82.041,78;75.053,07;86.400,88;90.996,81;122.647,09;93.550,02;103.770,46;97.165,69;89.368,05;86.192,02;1.066.274,86;108.368,95;2.101.829,68
21 - Secretaria de Estado da Casa Civil e Governan;31901300 - Obrigações Patronais;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;37.660,65;32.704,90;34.058,89;40.282,94;46.259,88;43.582,23;44.194,24;48.898,63;53.888,58;50.874,83;87.146,38;48.685,36;568.237,51
21 - Secretaria de Estado da Casa Civil e Governan;31901600 - Outras Despesas Variáveis - Pessoal Civil;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;906.048,25;956.787,93;983.898,99;951.810,95;961.803,32;968.613,51;1.048.519,49;1.008.095,43;1.052.427,98;1.033.518,77;1.094.463,54;1.066.435,16;12.032.423,32
21 - Secretaria de Estado da Casa Civil e Governan;31909200 - Despesas de Exercícios Anteriores;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;648;462,74;19.216,91;0;0;7.708,91;738,1;150,1;0;0;2.494,55;0;31.419,31
21 - Secretaria de Estado da Casa Civil e Governan;31911300 - Obrigações Patronais;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;7.848,52;7.487,24;7.487,24;7.487,24;7.487,24;7.487,24;4.771,06;4.681,64;2.801,54;4.681,64;9.410,18;6.561,74;78.192,52
25 - Secretaria de Estado de Administração Peniten;31900300 - Pensões do RPPS e do Militar;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;21.406,08;21.406,08;21.406,08;6.742,54;21.406,08;12.671,08;30.141,08;21.406,08;21.406,08;21.406,08;21.406,08;21.406,08;263.615,50
25 - Secretaria de Estado de Administração Peniten;31900400 - Contratação Por Tempo Determinado;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;38.661,29;34.800,00;30.943,55;19.050,00;26.898,37;135;0;0;0;0;0;0;150.488,21
25 - Secretaria de Estado de Administração Peniten;31900500 - Outros Benefícios Previdenciários do Servidor;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;640,51;0;1,8;0;14.989,93;7.485,00;6.180,00;3.455,48;1.099,80;1.801,80;1.801,80;2.401,80;41.633,73
25 - Secretaria de Estado de Administração Peniten;31900700 - Contribuição a Entidades Fechadas de Previdên;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;6.532,59;3.787,41;3.965,17;4.456,57;4.144,69;4.416,33;4.466,33;4.853,42;4.757,35;5.029,57;9.316,56;5.866,79;66.996,06
25 - Secretaria de Estado de Administração Peniten;31901100 - Vencimentos e Vantagens Fixas - Pessoal Civil;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;41.796.559,50;42.304.990,32;41.278.992,05;42.675.416,25;41.939.853,30;41.471.943,32;41.150.631,08;40.747.618,78;40.907.542,22;40.655.104,31;81.625.378,87;42.464.533,69;581.849.684,31
25 - Secretaria de Estado de Administração Peniten;31901300 - Obrigações Patronais;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;94.200,05;96.032,60;99.060,88;103.731,12;111.565,59;100.151,17;107.019,28;114.493,54;90.945,03;142.020,35;202.514,32;122.076,04;1.516.348,72
25 - Secretaria de Estado de Administração Peniten;31901600 - Outras Despesas Variáveis - Pessoal Civil;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;1.503.840,77;1.427.944,71;1.618.515,50;828.761,38;1.950.491,64;1.978.608,65;4.558.690,86;2.108.179,90;2.054.861,02;2.159.867,31;2.045.084,45;6.900.713,44;31.039.408,33
25 - Secretaria de Estado de Administração Peniten;31909100 - Sentenças Judiciais;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;301,44;301,44;301,44;301,44;301,44;301,44;301,44;301,44;301,44;301,44;301,44;301,44;3.918,72
25 - Secretaria de Estado de Administração Peniten;31909200 - Despesas de Exercícios Anteriores;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;485.032,71;72.944,02;590.855,66;123.834,10;52.627,00;47.574,51;304.819,26;42.102,25;14.690,15;35.752,27;276.016,53;2.594,44;2.692.544,70
25 - Secretaria de Estado de Administração Peniten;31911300 - Obrigações Patronais;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;10.828.855,93;10.801.648,23;10.632.151,30;10.702.463,64;10.882.086,39;10.753.052,05;10.776.967,04;10.672.257,23;10.711.570,45;10.660.012,89;21.196.049,94;10.802.585,40;150.098.785,57
25 - Secretaria de Estado de Administração Peniten;33900800 - Outros Benefícios Assistenciais do Servidor e;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;66.037,43;71.451,23;77.515,60;37.714,15;54.944,84;64.424,33;83.712,75;74.385,91;74.226,04;61.357,14;96.314,74;53.891,55;872.789,75
25 - Secretaria de Estado de Administração Peniten;33904600 - Auxílio Alimentação;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;307.997,57;302.902,43;340.253,00;174.593,00;333.605,00;381.995,00;382.761,48;360.060,52;391.895,00;327.137,50;358.636,50;283.661,00;4.234.457,00
25 - Secretaria de Estado de Administração Peniten;33904900 - Auxílio Transporte;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;451.891,50;410.022,56;460.876,67;198.967,31;474.141,92;461.217,70;474.165,19;471.886,67;476.434,39;471.590,31;463.597,87;449.671,72;5.715.351,77
25 - Secretaria de Estado de Administração Peniten;33909200 - Despesas de Exercícios Anteriores;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;7.406,59;4.445,29;889,07;106.271,64;7.412,11;11.060,00;5.643,87;500;3.083,68;528;4.306,48;200;170.965,71
26 - Secretaria de Estado de Segurança - Em Extinç;31900500 - Outros Benefícios Previdenciários do Servidor;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;2.351,61;4.050,00;4.050,00;0;0;14.083,33;0;0;0;0;0;0;24.534,94
26 - Secretaria de Estado de Segurança - Em Extinç;31901100 - Vencimentos e Vantagens Fixas - Pessoal Civil;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;279.763,43;122.065,66;95.240,70;50.871,44;21.887,29;36.260,37;209.432,96;0;0;0;0;0;815.521,85
26 - Secretaria de Estado de Segurança - Em Extinç;31901300 - Obrigações Patronais;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;321.746,29;73.907,65;155.577,87;64.513,09;157.657,32;230.258,88;500.000,00;0;0;0;0;-325.010,57;1.178.650,53
26 - Secretaria de Estado de Segurança - Em Extinç;31901600 - Outras Despesas Variáveis - Pessoal Civil;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;1.442.393,23;1.372.230,68;1.204.368,75;771.550,12;943.681,78;182.558,29;76.943,54;0;0;0;0;0;5.993.726,39
26 - Secretaria de Estado de Segurança - Em Extinç;31909200 - Despesas de Exercícios Anteriores;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;16.933,78;0;0;0;2.053,09;0;777,37;0;0;0;0;0;19.764,24
26 - Secretaria de Estado de Segurança - Em Extinç;33904600 - Auxílio Alimentação;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;99.013,25;59.075,75;80.775,00;18.032,23;53.342,07;32.879,42;552;0;0;0;0;0;343.669,72
51 - SECRETARIA DE ESTADO DE POLÍCIA MILITAR;31900100 - Aposentadorias e Reformas;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;3.901,02;3.901,02;2.947,56;10.776,38;3.275,44;3.901,02;7.831,55;7.831,55;19.074,37;30.679,86;435.203,15;30.679,86;594.362,27
51 - SECRETARIA DE ESTADO DE POLÍCIA MILITAR;31900300 - Pensões do RPPS e do Militar;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;2.308.583,65;2.312.554,15;2.280.128,31;2.207.823,06;2.265.252,14;2.353.616,09;2.349.518,26;2.294.289,59;2.235.676,57;2.247.968,58;2.167.489,02;2.323.681,15;29.519.971,92
51 - SECRETARIA DE ESTADO DE POLÍCIA MILITAR;31900400 - Contratação Por Tempo Determinado;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;1.110.925,44;1.075.415,69;1.051.890,09;1.016.744,67;995.002,31;967.882,88;941.142,14;939.624,57;909.219,82;870.490,06;844.703,61;842.184,12;12.389.454,68
51 - SECRETARIA DE ESTADO DE POLÍCIA MILITAR;31900500 - Outros Benefícios Previdenciários do Servidor;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;43,2;45;39,6;30.081,60;8.507,79;849,6;1.134,00;752,4;2.145,60;0;1.770,79;1.392,25;47.998,39
51 - SECRETARIA DE ESTADO DE POLÍCIA MILITAR;31901100 - Vencimentos e Vantagens Fixas - Pessoal Civil;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;1.199.092,86;1.160.231,24;1.173.294,61;1.231.536,93;1.292.022,29;1.435.025,32;1.285.103,53;1.257.422,08;1.239.064,61;1.280.973,46;1.209.798,80;1.508.682,11;16.593.665,53
51 - SECRETARIA DE ESTADO DE POLÍCIA MILITAR;31901200 - Vencimentos e Vantagens Fixas - Pessoal Milit;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;239.811.413,22;248.825.559,91;232.708.236,44;241.066.665,67;251.996.294,77;227.749.226,13;238.889.546,38;237.414.227,25;238.142.193,73;242,5;125.692.749,86;243.762.250,95;2.770.628.274,87
51 - SECRETARIA DE ESTADO DE POLÍCIA MILITAR;31901300 - Obrigações Patronais;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;37.408,11;34.672,16;45.573,05;115.054,43;126.515,53;109.849,49;122.423,32;121.922,72;222.177,91;140.180,15;24.329,37;299.716,94;1.565.629,87
51 - SECRETARIA DE ESTADO DE POLÍCIA MILITAR;31901700 - Outras Despesas Variáveis - Pessoal Militar;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;67.819.160,00;68.763.574,73;67.605.928,91;67.318.042,23;73.242.166,53;76.188.830,43;85.058.071,25;50.232.621,84;67.737.920,78;56.200.959,13;0;71.068.707,44;762.377.931,33
51 - SECRETARIA DE ESTADO DE POLÍCIA MILITAR;31909200 - Despesas de Exercícios Anteriores;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;4.254.294,97;2.094.374,85;1.369.278,86;1.005.593,90;1.141.023,37;918.060,05;828.801,37;1.171.181,55;415.845,95;885.715,56;803.829,95;964.984,17;20.970.580,26
51 - SECRETARIA DE ESTADO DE POLÍCIA MILITAR;31911300 - Obrigações Patronais;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;68.475.127,69;69.068.671,82;67.998.546,89;67.419.868,46;69.984.545,88;68.800.836,29;68.529.087,76;67.914.906,36;68.299.695,94;67.936.029,34;91.804.609,35;74.396.843,60;918.954.858,90
51 - SECRETARIA DE ESTADO DE POLÍCIA MILITAR;33900800 - Outros Benefícios Assistenciais do Servidor e;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;194.229,00;180.191,57;220.728,32;192.907,42;212.698,32;186.592,27;234.108,24;183.312,75;190.141,00;207.020,68;205.941,83;193.230,44;2.585.066,94
51 - SECRETARIA DE ESTADO DE POLÍCIA MILITAR;33901900 - Auxílio-Fardamento;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;172.079,21;175.037,37;172.482,07;158.399,57;350.310,88;318.611,72;145.896,05;136.448,17;252.638,82;202.669,35;94.421,82;137.812,08;2.396.641,08
51 - SECRETARIA DE ESTADO DE POLÍCIA MILITAR;33904600 - Auxílio Alimentação;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;2.647.693,36;2.713.093,33;2.743.511,31;2.703.115,78;2.660.628,61;2.667.702,76;2.615.544,37;2.690.764,12;2.660.416,50;2.804.618,39;2.682.347,52;2.791.005,86;34.938.197,90
51 - SECRETARIA DE ESTADO DE POLÍCIA MILITAR;33904900 - Auxílio Transporte;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;3.795.470,15;3.815.539,16;3.701.466,31;3.647.793,47;4.303.699,24;4.200.292,81;4.780.456,31;2.753.199,52;3.998.630,92;3.762.760,32;0;7.952.526,80;50.530.246,43
51 - SECRETARIA DE ESTADO DE POLÍCIA MILITAR;33909200 - Despesas de Exercícios Anteriores;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;899.079,36;95.348,41;17.025,68;9.149,74;24.093,26;243,9;10.615,10;4.685,95;143.917,36;121.340,50;4.572,65;313,58;1.465.283,59
51 - SECRETARIA DE ESTADO DE POLÍCIA MILITAR;33913000 - Material de Consumo;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;4.666.081,67;4.666.081,67;4.666.081,67;4.666.081,67;4.666.081,67;4.666.081,67;4.666.081,67;4.666.081,67;4.666.081,67;4.666.081,67;0;9.332.163,34;60.659.061,04
52 - SECRETARIA DE ESTADO DE POLICIA CIVIL ;31900700 - Contribuição a Entidades Fechadas de Previdên;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;138.000,00;267.580,07;127.419,16;135.447,53;143.293,18;158.728,74;292.794,79;-942,78;336.395,40;163.142,53;298.891,00;21.546,69;2.270.228,25
52 - SECRETARIA DE ESTADO DE POLICIA CIVIL ;31901100 - Vencimentos e Vantagens Fixas - Pessoal Civil;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;115.207.349,07;100.107.064,96;95.531.928,15;86.884.225,39;111.147.711,51;97.320.646,33;94.072.375,24;127.923.484,37;102.608.977,91;106.378.858,35;191.766.653,39;77.853.007,99;1.375.189.146,50
52 - SECRETARIA DE ESTADO DE POLICIA CIVIL ;31901600 - Outras Despesas Variáveis - Pessoal Civil;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;5.800.000,00;6.000.000,00;10.337.216,37;1.117.050,00;12.523.416,33;19.549.114,09;8.596.795,91;15.508.436,60;5.954.021,93;11.692.863,00;10.892.318,74;-659.259,44;121.415.116,50
52 - SECRETARIA DE ESTADO DE POLICIA CIVIL ;31911300 - Obrigações Patronais;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 -  ;25.500.000,00;25.006.506,84;24.524.922,37;24.384.812,50;24.668.487,76;26.121.154,59;24.332.283,69;25.256.747,78;24.577.195,86;26.934.514,32;47.261.346,63;9.011,11;322.750.685,83
21 - Secretaria de Estado da Casa Civil e Governan;33903900 - Outros Serviços de Terceiros - Pessoa Jurídic;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;8021 -  ;3.529,78;4.008,00;4.619,91;3.408,97;159.130,00;16.120,00;43.900,00;5.761,97;26.783,90;32.600,00;73.200,00;-7.018,56;366.043,97
26 - Secretaria de Estado de Segurança - Em Extinç;33903900 - Outros Serviços de Terceiros - Pessoa Jurídic;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;8021 -  ;3.808,57;0;411.036,25;0;1.106.876,62;0;564.526,22;849.555,94;-241.989,58;0;0;-46.067,02;2.647.747,00
26 - Secretaria de Estado de Segurança - Em Extinç;33903900 - Outros Serviços de Terceiros - Pessoa Jurídic;100 - Ordinários Provenientes de Impostos;181 - Policiamento;0070 - Gestão Operacional da Polícia;8198 -  ;3.721,38;3.721,38;176.000,00;10.527,24;0;351.500,00;0;0;0;0;0;-4.275,84;541.194,16
21 - Secretaria de Estado da Casa Civil e Governan;33903000 - Material de Consumo;100 - Ordinários Provenientes de Impostos;781 - Transporte Aéreo;0059 - Desenvolvimento das Atividades de Segurança O;2039 -  ;500;9.000,00;0;3.892,28;0;0;175.000,00;0;50.000,00;0;32.467,30;-35.295,75;235.563,83
21 - Secretaria de Estado da Casa Civil e Governan;33903900 - Outros Serviços de Terceiros - Pessoa Jurídic;100 - Ordinários Provenientes de Impostos;781 - Transporte Aéreo;0059 - Desenvolvimento das Atividades de Segurança O;2039 -  ;365.703,00;347.421,02;372.956,00;339.248,77;347.221,00;301.382,38;317.585,02;298.446,00;199.108,00;222.013,17;489.955,30;-128.333,32;3.472.706,34
25 - Secretaria de Estado de Administração Peniten;33904700 - Obrigações Tributárias e Contributivas;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;0467 - Despesas Obrigatórias de caráter Primário;0;4.633,27;50,45;7.763,35;4.007,62;3.943,27;7.604,78;5.530,31;4.345,98;3.573,47;3.836,43;3.749,26;53.600,34
06 - Gabinete de Segurança Institucional do Estado;33903000 - Material de Consumo;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2010 - Prestação de Serviços entre Órgãos Estaduais/;0;0;0;0;0;0;0;0;0;0;0;0;40.000,00
51 - Secretaria de Estado de Polícia Militar      ;33903000 - Material de Consumo;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2010 - Prestação de Serviços entre Órgãos Estaduais/;0;0;0;0;0;0;0;0;0;0;0;0;1.632.954,00
06 - Gabinete de Segurança Institucional do Estado;33901400 - Diárias - Civil;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2016 - Manut  Ativid  Operacionais / Administrativas;0;0;0;0;0;0;0;0;0;0;0;0;253,5
06 - Gabinete de Segurança Institucional do Estado;33903900 - Outros Serviços de Terceiros - Pessoa Jurídic;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2016 - Manut  Ativid  Operacionais / Administrativas;0;0;0;0;0;0;0;0;0;0;0;0;182.739,00
08 - Vice-Governadoria do Estado;33903900 - Outros Serviços de Terceiros - Pessoa Jurídic;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2016 - Manut  Ativid  Operacionais / Administrativas;0;1.330,00;665;665;8.665,00;665;19.024,00;4.000,00;4.000,00;5.644,45;163,71;-2.738,16;42.784,00
25 - Secretaria de Estado de Administração Peniten;33903900 - Outros Serviços de Terceiros - Pessoa Jurídic;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2016 - Manut  Ativid  Operacionais / Administrativas;0;862.867,74;243.249,17;627.814,90;2.867.158,98;1.782.980,98;1.149.725,16;494.940,53;699.411,17;584.757,73;-21.188,06;-2.317.161,96;9.865.726,41
51 - Secretaria de Estado de Polícia Militar      ;33901500 - Diárias - Militar;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2016 - Manut  Ativid  Operacionais / Administrativas;0;481;47.024,00;39.875,80;0;551,95;0;12.299,00;35.157,00;0;0;0;137.016,75
06 - Gabinete de Segurança Institucional do Estado;31901100 - Vencimentos e Vantagens Fixas - Pessoal Civil;100 - Ordinários Provenientes de Impostos;122 - Administração Geral;0002 - Gestão Administrativa;2660 - Pessoal e Encargos Sociais;0;0;0;0;0;0;0;0;0;0;0;0;149.604,36
